"","x"
"SS3_MAF_Leo171129_p2_S10","G1"
"SS3_MAF_Leo171129_p2_S12","G1"
"SS3_MAF_Leo171129_p2_S13","G1"
"SS3_MAF_Leo171129_p2_S14","G1"
"SS3_MAF_Leo171129_p2_S16","G1"
"SS3_MAF_Leo171129_p2_S17","G1"
"SS3_MAF_Leo171129_p2_S18","S"
"SS3_MAF_Leo171129_p2_S19","G1"
"SS3_MAF_Leo171129_p2_S1","G2M"
"SS3_MAF_Leo171129_p2_S20","G1"
"SS3_MAF_Leo171129_p2_S21","G1"
"SS3_MAF_Leo171129_p2_S22","G2M"
"SS3_MAF_Leo171129_p2_S23","G1"
"SS3_MAF_Leo171129_p2_S24","G1"
"SS3_MAF_Leo171129_p2_S25","G1"
"SS3_MAF_Leo171129_p2_S26","G2M"
"SS3_MAF_Leo171129_p2_S27","G1"
"SS3_MAF_Leo171129_p2_S28","G2M"
"SS3_MAF_Leo171129_p2_S2","S"
"SS3_MAF_Leo171129_p2_S30","G2M"
"SS3_MAF_Leo171129_p2_S31","G1"
"SS3_MAF_Leo171129_p2_S32","G2M"
"SS3_MAF_Leo171129_p2_S33","G1"
"SS3_MAF_Leo171129_p2_S34","G1"
"SS3_MAF_Leo171129_p2_S37","G1"
"SS3_MAF_Leo171129_p2_S3","G1"
"SS3_MAF_Leo171129_p2_S41","G1"
"SS3_MAF_Leo171129_p2_S42","G1"
"SS3_MAF_Leo171129_p2_S43","G1"
"SS3_MAF_Leo171129_p2_S44","G1"
"SS3_MAF_Leo171129_p2_S45","S"
"SS3_MAF_Leo171129_p2_S47","G1"
"SS3_MAF_Leo171129_p2_S48","G1"
"SS3_MAF_Leo171129_p2_S49","G1"
"SS3_MAF_Leo171129_p2_S4","G1"
"SS3_MAF_Leo171129_p2_S50","G1"
"SS3_MAF_Leo171129_p2_S52","G1"
"SS3_MAF_Leo171129_p2_S53","G1"
"SS3_MAF_Leo171129_p2_S55","G2M"
"SS3_MAF_Leo171129_p2_S57","G1"
"SS3_MAF_Leo171129_p2_S58","G1"
"SS3_MAF_Leo171129_p2_S59","G1"
"SS3_MAF_Leo171129_p2_S5","G2M"
"SS3_MAF_Leo171129_p2_S61","G1"
"SS3_MAF_Leo171129_p2_S62","G1"
"SS3_MAF_Leo171129_p2_S64","G1"
"SS3_MAF_Leo171129_p2_S65","G1"
"SS3_MAF_Leo171129_p2_S66","G1"
"SS3_MAF_Leo171129_p2_S67","S"
"SS3_MAF_Leo171129_p2_S68","G1"
"SS3_MAF_Leo171129_p2_S69","G1"
"SS3_MAF_Leo171129_p2_S6","G2M"
"SS3_MAF_Leo171129_p2_S72","G1"
"SS3_MAF_Leo171129_p2_S73","G1"
"SS3_MAF_Leo171129_p2_S74","G1"
"SS3_MAF_Leo171129_p2_S75","G1"
"SS3_MAF_Leo171129_p2_S76","G2M"
"SS3_MAF_Leo171129_p2_S77","G1"
"SS3_MAF_Leo171129_p2_S78","S"
"SS3_MAF_Leo171129_p2_S79","G1"
"SS3_MAF_Leo171129_p2_S7","G1"
"SS3_MAF_Leo171129_p2_S80","S"
"SS3_MAF_Leo171129_p2_S81","G2M"
"SS3_MAF_Leo171129_p2_S82","G1"
"SS3_MAF_Leo171129_p2_S83","G1"
"SS3_MAF_Leo171129_p2_S84","G1"
"SS3_MAF_Leo171129_p2_S85","G1"
"SS3_MAF_Leo171129_p2_S86","S"
"SS3_MAF_Leo171129_p2_S87","G1"
"SS3_MAF_Leo171129_p2_S89","G1"
"SS3_MAF_Leo171129_p2_S8","G1"
"SS3_MAF_Leo171129_p2_S90","G1"
"SS3_MAF_Leo171129_p2_S91","G1"
"SS3_MAF_Leo171129_p2_S92","G1"
"SS3_MAF_Leo171129_p2_S93","S"
"SS3_MAF_Leo171129_p2_S94","G2M"
"SS3_MAF_Leo171129_p2_S9","G2M"
"SS3_MAF_leo180223_p6_A10_S10","G1"
"SS3_MAF_leo180223_p6_B01_S13","G1"
"SS3_MAF_leo180223_p6_A03_S3","G1"
"SS3_MAF_leo180223_p6_A09_S9","G2M"
"SS3_MAF_leo180223_p6_B05_S17","G2M"
"SS3_MAF_leo180223_p6_A01_S1","G1"
"SS3_MAF_leo180223_p6_A11_S11","G1"
"SS3_MAF_leo180223_p6_C01_S25","G1"
"SS3_MAF_leo180223_p6_B02_S14","G1"
"SS3_MAF_leo180223_p6_A02_S2","S"
"SS3_MAF_leo180223_p6_A05_S5","G2M"
"SS3_MAF_leo180223_p6_A07_S7","G1"
"SS3_MAF_leo180223_p6_A04_S4","G1"
"SS3_MAF_leo180223_p6_A12_S12","G1"
"SS3_MAF_leo180223_p6_B04_S16","G1"
"SS3_MAF_leo180223_p6_A06_S6","G1"
"SS3_MAF_leo180223_p6_B03_S15","S"
"SS3_MAF_leo180223_p6_B10_S22","G1"
"SS3_MAF_leo180223_p6_C02_S26","G1"
"SS3_MAF_leo180223_p6_C04_S28","G2M"
"SS3_MAF_leo180223_p6_B09_S21","G1"
"SS3_MAF_leo180223_p6_C05_S29","G1"
"SS3_MAF_leo180223_p6_C11_S35","G1"
"SS3_MAF_leo180223_p6_C09_S33","G1"
"SS3_MAF_leo180223_p6_D01_S37","S"
"SS3_MAF_leo180223_p6_D03_S39","G1"
"SS3_MAF_leo180223_p6_B11_S23","G1"
"SS3_MAF_leo180223_p6_D05_S41","G1"
"SS3_MAF_leo180223_p6_D09_S45","G1"
"SS3_MAF_leo180223_p6_B07_S19","G1"
"SS3_MAF_leo180223_p6_E01_S49","G1"
"SS3_MAF_leo180223_p6_C10_S34","G1"
"SS3_MAF_leo180223_p6_C12_S36","G1"
"SS3_MAF_leo180223_p6_C06_S30","S"
"SS3_MAF_leo180223_p6_D12_S48","G1"
"SS3_MAF_leo180223_p6_D07_S43","G1"
"SS3_MAF_leo180223_p6_D04_S40","S"
"SS3_MAF_leo180223_p6_E07_S55","G1"
"SS3_MAF_leo180223_p6_D02_S38","G1"
"SS3_MAF_leo180223_p6_E10_S58","G1"
"SS3_MAF_leo180223_p6_E05_S53","S"
"SS3_MAF_leo180223_p6_E03_S51","G1"
"SS3_MAF_leo180223_p6_E11_S59","G1"
"SS3_MAF_leo180223_p6_F03_S63","G1"
"SS3_MAF_leo180223_p6_F07_S67","G1"
"SS3_MAF_leo180223_p6_D06_S42","G2M"
"SS3_MAF_leo180223_p6_F10_S70","G1"
"SS3_MAF_leo180223_p6_G01_S73","G2M"
"SS3_MAF_leo180223_p6_G05_S77","G2M"
"SS3_MAF_leo180223_p6_F05_S65","G1"
"SS3_MAF_leo180223_p6_G03_S75","G1"
"SS3_MAF_leo180223_p6_E06_S54","G1"
"SS3_MAF_leo180223_p6_G07_S79","G1"
"SS3_MAF_leo180223_p6_G09_S81","G1"
"SS3_MAF_leo180223_p6_G11_S83","S"
"SS3_MAF_leo180223_p6_D08_S44","G1"
"SS3_MAF_leo180223_p6_H07_S91","G1"
"SS3_MAF_leo180223_p6_H09_S93","G1"
"SS3_MAF_leo180223_p6_H11_S95","G1"
"SS3_MAF_leo180223_p6_G06_S78","G1"
"SS3_MAF_leo180223_p6_E12_S60","G1"
"SS3_MAF_leo180223_p4_S101","S"
"SS3_MAF_leo180223_p4_S102","G1"
"SS3_MAF_leo180223_p4_S104","G2M"
"SS3_MAF_leo180223_p4_S108","G1"
"SS3_MAF_leo180223_p4_S105","G1"
"SS3_MAF_leo180223_p4_S106","G1"
"SS3_MAF_leo180223_p6_D10_S46","G1"
"SS3_MAF_leo180223_p4_S107","G1"
"SS3_MAF_leo180223_p6_F06_S66","G1"
"SS3_MAF_leo180223_p6_E08_S56","G1"
"SS3_MAF_leo180223_p6_H08_S92","G1"
"SS3_MAF_leo180223_p6_H10_S94","S"
"SS3_MAF_leo180223_p4_S109","G1"
"SS3_MAF_leo180223_p6_G04_S76","G1"
"SS3_MAF_leo180223_p4_S112","G1"
"SS3_MAF_leo180223_p4_S111","S"
"SS3_MAF_leo180223_p4_S113","G1"
"SS3_MAF_leo180223_p6_E02_S50","G1"
"SS3_MAF_leo180223_p4_S114","G1"
"SS3_MAF_leo180223_p4_S115","G1"
"SS3_MAF_leo180223_p4_S117","G1"
"SS3_MAF_leo180223_p4_S116","G2M"
"SS3_MAF_leo180223_p4_S118","G1"
"SS3_MAF_leo180223_p4_S119","G1"
"SS3_MAF_leo180223_p4_S123","S"
"SS3_MAF_leo180223_p4_S121","G1"
"SS3_MAF_leo180223_p4_S122","G1"
"SS3_MAF_leo180223_p4_S125","G1"
"SS3_MAF_leo180223_p4_S126","G1"
"SS3_MAF_leo180223_p4_S127","G1"
"SS3_MAF_leo180223_p4_S124","G1"
"SS3_MAF_leo180223_p4_S129","G1"
"SS3_MAF_leo180223_p4_S130","G1"
"SS3_MAF_leo180223_p4_S131","G2M"
"SS3_MAF_leo180223_p4_S132","G1"
"SS3_MAF_leo180223_p4_S134","G1"
"SS3_MAF_leo180223_p4_S133","G1"
"SS3_MAF_leo180223_p4_S135","G1"
"SS3_MAF_leo180223_p4_S139","G2M"
"SS3_MAF_leo180223_p4_S137","S"
"SS3_MAF_leo180223_p4_S138","G2M"
"SS3_MAF_leo180223_p4_S140","G1"
"SS3_MAF_leo180223_p4_S142","G1"
"SS3_MAF_leo180223_p4_S147","G1"
"SS3_MAF_leo180223_p4_S97","G1"
"SS3_MAF_leo180223_p4_S146","S"
"SS3_MAF_leo180223_p4_S145","G1"
"SS3_MAF_leo180223_p4_S148","G2M"
"SS3_MAF_leo180223_p4_S150","G2M"
"SS3_MAF_leo180223_p4_S149","G1"
"SS3_MAF_leo180223_p4_S151","G2M"
"SS3_MAF_leo180223_p4_S153","G1"
"SS3_MAF_leo180223_p4_S156","G1"
"SS3_MAF_leo180223_p4_S154","S"
"SS3_MAF_leo180223_p4_S157","G1"
"SS3_MAF_leo180223_p4_S159","G1"
"SS3_MAF_leo180223_p4_S158","G2M"
"SS3_MAF_leo180223_p4_S161","S"
"SS3_MAF_leo180223_p4_S160","G1"
"SS3_MAF_leo180223_p4_S162","G1"
"SS3_MAF_leo180223_p4_S164","G1"
"SS3_MAF_leo180223_p4_S166","S"
"SS3_MAF_leo180223_p4_S167","G1"
"SS3_MAF_leo180223_p4_S169","G1"
"SS3_MAF_leo180223_p4_S165","G1"
"SS3_MAF_leo180223_p4_S173","G1"
"SS3_MAF_leo180223_p4_S170","G1"
"SS3_MAF_leo180223_p4_S171","S"
"SS3_MAF_leo180223_p4_S177","S"
"SS3_MAF_leo180223_p4_S174","G1"
"SS3_MAF_leo180223_p4_S180","G1"
"SS3_MAF_leo180223_p4_S176","G1"
"SS3_MAF_leo180223_p4_S179","G1"
"SS3_MAF_leo180223_p4_S178","S"
"SS3_MAF_leo180223_p4_S181","G1"
"SS3_MAF_leo180223_p4_S183","G1"
"SS3_MAF_leo180223_p4_S182","G1"
"SS3_MAF_leo180223_p4_S186","S"
"SS3_MAF_leo180223_p4_S187","G2M"
"SS3_MAF_leo180223_p4_S191","G2M"
"SS3_MAF_leo180223_p4_S185","G1"
"SS3_MAF_leo180223_p4_S189","G1"
"SS3_MAF_leo180223_p4_S188","G1"
"SS3_MAF_leo180223_p4_S190","G1"
"SS3_MAF_leo180223_p4_S98","G1"
"SS3_MAF_leo180223_p4_S99","G1"
